tgl_kirim,nama_customer,nama_driver,area_pengantaran,jadwal_terima,cut_off_jam,status_prioritas
2024-02-28,PT HM Sampoerna,Budi Santoso,Bogor,Selasa-Kamis,10:00,Prioritas
2024-04-25,PT Indofood CBP,Agus Pratama,Jakarta Barat,Setiap Hari,15:00,Normal
2024-10-07,PT HM Sampoerna,Budi Santoso,Bogor,Selasa-Kamis,10:00,Prioritas
2024-01-17,PT Suzuki Indomobil,Budi Santoso,Jakarta Selatan,Senin-Kamis,10:00,Prioritas
2024-11-05,PT Kimia Farma,Budi Santoso,Depok,Setiap Hari,16:00,Normal
2024-11-29,PT Pertamina Retail,Eko Setiawan,Jakarta Pusat,Setiap Hari,14:30,Normal
2024-10-29,PT Sido Muncul,Dedi Kurniawan,Bekasi,Rabu-Jumat,12:00,Prioritas
2024-03-25,PT Suzuki Indomobil,Rudi Hartono,Jakarta Selatan,Senin-Kamis,10:00,Prioritas
2024-04-22,PT Unilever Indonesia,Dedi Kurniawan,Tangerang,Selasa-Jumat,11:00,Prioritas
2024-02-20,PT Kalbe Farma,Dedi Kurniawan,Jakarta Timur,Senin-Jumat,11:30,Prioritas
2024-05-16,PT Gudang Garam,Budi Santoso,Bogor,Senin-Kamis,09:30,Prioritas
2024-03-05,PT Kimia Farma,Rudi Hartono,Depok,Setiap Hari,16:00,Prioritas
2024-11-18,PT Mayora Indah,Eko Setiawan,Tangerang Selatan,Senin-Rabu,10:30,Prioritas
2024-10-23,PT Wings Group,Agus Pratama,Bekasi,Setiap Hari,13:00,Normal
2024-12-05,PT Suzuki Indomobil,Agus Pratama,Jakarta Selatan,Senin-Kamis,10:00,Prioritas
2024-04-30,PT Astra International,Budi Santoso,Jakarta Pusat,Setiap Hari,14:00,Normal
2024-11-22,PT Sido Muncul,Dedi Kurniawan,Bekasi,Rabu-Jumat,12:00,Prioritas
2024-04-18,PT Wings Group,Dedi Kurniawan,Bekasi,Setiap Hari,13:00,Normal
2024-11-28,PT HM Sampoerna,Budi Santoso,Bogor,Selasa-Kamis,10:00,Prioritas
2024-10-01,PT Unilever Indonesia,Agus Pratama,Tangerang,Selasa-Jumat,11:00,Prioritas
2024-05-20,PT Kalbe Farma,Eko Setiawan,Jakarta Timur,Senin-Jumat,11:30,Normal
2024-01-30,PT Wings Group,Agus Pratama,Bekasi,Setiap Hari,13:00,Normal
2024-06-11,PT Semen Indonesia,Rudi Hartono,Tangerang,Senin-Jumat,13:30,Normal
2024-10-18,PT Indofood CBP,Dedi Kurniawan,Jakarta Barat,Setiap Hari,15:00,Normal
2024-07-22,PT Sido Muncul,Rudi Hartono,Bekasi,Rabu-Jumat,12:00,Prioritas
2024-05-07,PT Unilever Indonesia,Eko Setiawan,Tangerang,Selasa-Jumat,11:00,Prioritas
2024-10-28,PT Pertamina Retail,Rudi Hartono,Jakarta Pusat,Setiap Hari,14:30,Normal
2024-07-05,PT Kalbe Farma,Agus Pratama,Jakarta Timur,Senin-Jumat,11:30,Prioritas
2024-09-18,PT Unilever Indonesia,Rudi Hartono,Tangerang,Selasa-Jumat,11:00,Prioritas
2024-02-27,PT Suzuki Indomobil,Agus Pratama,Jakarta Selatan,Senin-Kamis,10:00,Prioritas
2024-12-16,PT Semen Indonesia,Rudi Hartono,Tangerang,Senin-Jumat,13:30,Prioritas
2024-07-15,PT Kalbe Farma,Eko Setiawan,Jakarta Timur,Senin-Jumat,11:30,Prioritas
2024-05-09,PT Kimia Farma,Eko Setiawan,Depok,Setiap Hari,16:00,Normal
2024-12-16,PT Suzuki Indomobil,Budi Santoso,Jakarta Selatan,Senin-Kamis,10:00,Prioritas
2024-05-17,PT Kimia Farma,Dedi Kurniawan,Depok,Setiap Hari,16:00,Prioritas
2024-03-22,PT Kalbe Farma,Rudi Hartono,Jakarta Timur,Senin-Jumat,11:30,Normal
2024-05-15,PT Pertamina Retail,Eko Setiawan,Jakarta Pusat,Setiap Hari,14:30,Normal
2024-02-26,PT Kimia Farma,Dedi Kurniawan,Depok,Setiap Hari,16:00,Normal
2024-11-08,PT Kimia Farma,Agus Pratama,Depok,Setiap Hari,16:00,Prioritas
2024-03-25,PT Semen Indonesia,Eko Setiawan,Tangerang,Senin-Jumat,13:30,Prioritas
2024-09-30,PT Matahari Dept Store,Budi Santoso,Jakarta Selatan,Setiap Hari,15:30,Normal
2024-01-11,PT Sido Muncul,Budi Santoso,Bekasi,Rabu-Jumat,12:00,Prioritas
2024-06-07,PT Matahari Dept Store,Agus Pratama,Jakarta Selatan,Setiap Hari,15:30,Normal
2024-10-18,PT Matahari Dept Store,Budi Santoso,Jakarta Selatan,Setiap Hari,15:30,Normal
2024-02-06,PT Sido Muncul,Eko Setiawan,Bekasi,Rabu-Jumat,12:00,Prioritas
2024-12-04,PT Unilever Indonesia,Rudi Hartono,Tangerang,Selasa-Jumat,11:00,Prioritas
2024-05-16,PT Unilever Indonesia,Eko Setiawan,Tangerang,Selasa-Jumat,11:00,Prioritas
2024-04-19,PT Kalbe Farma,Eko Setiawan,Jakarta Timur,Senin-Jumat,11:30,Prioritas
2024-04-15,PT Pertamina Retail,Dedi Kurniawan,Jakarta Pusat,Setiap Hari,14:30,Normal
2024-11-29,PT HM Sampoerna,Dedi Kurniawan,Bogor,Selasa-Kamis,10:00,Prioritas
2024-08-20,PT Kimia Farma,Budi Santoso,Depok,Setiap Hari,16:00,Normal
2024-06-24,PT Astra International,Budi Santoso,Jakarta Pusat,Setiap Hari,14:00,Normal
2024-10-29,PT Indofood CBP,Agus Pratama,Jakarta Barat,Setiap Hari,15:00,Normal
2024-11-20,PT Pertamina Retail,Budi Santoso,Jakarta Pusat,Setiap Hari,14:30,Normal
2024-01-18,PT Matahari Dept Store,Dedi Kurniawan,Jakarta Selatan,Setiap Hari,15:30,Normal
2024-05-23,PT Indofood CBP,Rudi Hartono,Jakarta Barat,Setiap Hari,15:00,Normal
